gene_name,R1105988,R1262106,R1287407,R1489314,R1531359,R1617674,R1710143,R1822146,R2079629,R2111091,R2516394,R2575548,R2624931,R2678902,R2716798,R2721311,R2731324,R2731764,R2803490,R3008520,R3257830,R3408213,R3477250,R3535957,R3739042,R3740754,R3741788,R3757880,R4119160,R4147686,R4276053,R4531942,R4917253,R5177066,R5211056,R5369295,R5449861,R5546461,R5766881,R5789564,R6114572,R6132310,R6476704,R6759986,R6847727,R6862468,R7025378,R7295303,R7738727,R7791442,R7876628,R7881801,R7959406,R8444624,R8457289,R8724814,R8845676,R8937093,R9354381,R9489952,R9596785,R9680160,R9781891,R9936070
AIFM2,0.4286768571428571,0.4303422857142857,0.4267844285714285,0.4718012857142857,0.4768492857142857,0.4532178571428572,0.4502694285714286,0.4280352857142857,0.4632614285714285,0.4941295714285714,0.4689574285714286,0.4418112857142857,0.4201531428571429,0.4312525714285714,0.4725375714285714,0.4415895714285714,0.4774282857142857,0.4194267142857143,0.446967,0.4332967142857143,0.479392,0.4558778571428571,0.4298327142857143,0.4639885714285715,0.4327437142857143,0.4717172857142857,0.411334,0.4583231428571429,0.4561395714285714,0.4655132857142857,0.4767034285714286,0.4526735714285714,0.4124364285714286,0.4229175714285714,0.4607944285714285,0.4272932857142857,0.443512,0.4512225714285714,0.4749974285714286,0.4684328571428571,0.4115191428571428,0.4366084285714285,0.4601474285714286,0.4346677142857143,0.4336621428571429,0.4198231428571428,0.4611918571428571,0.4774688571428571,0.4456241428571428,0.4886189999999999,0.4148138571428572,0.4005832857142857,0.4522274285714286,0.4065148571428571,0.4587647142857142,0.4442032857142857,0.4499291428571428,0.4433682857142857,0.4580611428571428,0.4497354285714285,0.4305801428571428,0.451379,0.4128551428571428,0.4431348571428571
ATM,0.238232,0.2323475,0.241469,0.2427242499999999,0.24091725,0.2308675,0.22832575,0.22402,0.236587,0.2312035,0.2432545,0.213673,0.247546,0.24355225,0.24636675,0.23151625,0.24026375,0.2284729999999999,0.22690325,0.2486915,0.22684875,0.23671475,0.21228825,0.22971525,0.1974999999999999,0.23067975,0.21920775,0.22988875,0.243395,0.2366835,0.22528375,0.216133,0.2071575,0.235745,0.2498892499999999,0.22334475,0.226716,0.2109572499999999,0.219553,0.2339304999999999,0.22477275,0.21881675,0.226712,0.23729175,0.21931225,0.2388795,0.2330985,0.19978675,0.250371,0.215332,0.23400325,0.235309,0.2147925,0.226942,0.2423845,0.2324995,0.237912,0.2148475,0.23416875,0.238358,0.21525275,0.20040725,0.23431775,0.23019625
ATR,0.0679283333333333,0.0665371666666666,0.0579204999999999,0.0611658333333333,0.0680358333333333,0.0761633333333333,0.0889093333333333,0.0662971666666666,0.0614933333333333,0.0633566666666666,0.0698043333333333,0.066027,0.063108,0.0678533333333333,0.0515466666666666,0.0540988333333333,0.0665675,0.0607068333333333,0.0609298333333333,0.0606706666666666,0.064178,0.0663058333333333,0.0555931666666666,0.0682896666666666,0.0733816666666666,0.0631881666666666,0.0660026666666666,0.0514625,0.0665436666666666,0.064871,0.0589761666666666,0.0634895,0.0647416666666666,0.0729341666666666,0.064258,0.054072,0.06201,0.0631915,0.0645296666666666,0.060641,0.0666145,0.0620505,0.0536385,0.0640095,0.0706191666666666,0.0736111666666666,0.0530156666666666,0.0656726666666666,0.0612243333333333,0.0783858333333333,0.0716435,0.063287,0.0575585,0.0709211666666666,0.0623868333333333,0.0478796666666666,0.0784681666666666,0.0553868333333333,0.0723601666666666,0.0639199999999999,0.0707036666666666,0.0683183333333333,0.074028,0.0600425
CACNA2D2,0.1124498333333333,0.1214735,0.1092678333333333,0.1328798333333333,0.1111126666666666,0.1150675,0.1263785,0.121856,0.11028,0.1088246666666666,0.1221123333333333,0.1110873333333333,0.1056193333333333,0.126617,0.1092245,0.1063741666666666,0.1010173333333333,0.098932,0.1067323333333333,0.1105665,0.1267505,0.1196545,0.1192908333333333,0.109713,0.1224933333333333,0.1128796666666666,0.1076131666666666,0.120712,0.1151968333333333,0.1109423333333333,0.1102366666666666,0.117694,0.1271966666666666,0.1245463333333333,0.1083473333333333,0.1049876666666666,0.109934,0.1227081666666666,0.1076193333333333,0.1087588333333333,0.1135131666666666,0.1030599999999999,0.1095136666666666,0.1218655,0.1138651666666666,0.1201076666666666,0.1069581666666666,0.1073051666666666,0.1091366666666666,0.1369005,0.1114434999999999,0.11634,0.102971,0.1166266666666666,0.1183013333333333,0.1070056666666666,0.120981,0.116373,0.1236289999999999,0.1122119999999999,0.122218,0.1166626666666666,0.1308603333333333,0.1101563333333333
CACNA2D4,0.804489,0.855697,0.776941,0.807124,0.828227,0.79951,0.806921,0.843587,0.819519,0.846233,0.814669,0.817212,0.856353,0.802849,0.870987,0.84596,0.871275,0.853925,0.834584,0.809125,0.811922,0.825374,0.825042,0.806148,0.800338,0.800318,0.809528,0.765945,0.799975,0.824448,0.845415,0.834272,0.764649,0.790879,0.850043,0.807625,0.850272,0.799931,0.83026,0.853924,0.772302,0.779421,0.840365,0.838077,0.852415,0.800453,0.831427,0.803584,0.82369,0.827569,0.785348,0.789791,0.845227,0.794778,0.840384,0.831323,0.820606,0.824897,0.831924,0.848129,0.795029,0.808171,0.870209,0.832988
CACNB4,0.0738155,0.0630213,0.0535899,0.0544706,0.0577798,0.0588674999999999,0.0667025,0.069558,0.0643999,0.0564304999999999,0.0608982999999999,0.0612295999999999,0.0634869,0.0672702,0.0521894,0.0497293,0.0505759999999999,0.0499977,0.0656153,0.0704628,0.0526564,0.0664524,0.0502687,0.0667398,0.0628657,0.0626033,0.0626932,0.0622168,0.072624,0.059363,0.0561835,0.0708618,0.0673366,0.0712618,0.0817317,0.0517918,0.0587227,0.062312,0.0704088,0.0623125,0.0595676,0.0564311,0.0483004,0.0656745,0.056407,0.0496992,0.0601889,0.0592696999999999,0.0666063,0.0692312,0.0620338999999999,0.0714281,0.0604489999999999,0.0760361,0.0646334,0.0588534,0.0700697,0.0755330999999999,0.0659276,0.061572,0.0662574,0.0613098,0.0740054,0.0694848
CACNG1,0.7915725,0.815384,0.7678235,0.83422675,0.8412535,0.81276625,0.80767425,0.8059594999999999,0.8209960000000001,0.8000985,0.8078682500000001,0.81434975,0.83626475,0.818459,0.83083675,0.828479,0.85583825,0.8208949999999999,0.78607925,0.77139625,0.8139465,0.805371,0.83272225,0.836863,0.77070375,0.83424475,0.8074012500000001,0.8106405,0.82324925,0.82772325,0.8488202499999999,0.7948007500000001,0.8037885,0.79565925,0.77905525,0.80491725,0.8227845,0.821885,0.79593675,0.824405,0.79765225,0.78749075,0.8059195,0.813295,0.786383,0.82565025,0.8380719999999999,0.82022275,0.8207742499999999,0.8288525,0.80664175,0.7932724999999999,0.831597,0.7847697499999999,0.828524,0.81362975,0.8177325,0.846692,0.82948475,0.81970075,0.82435925,0.79742,0.823788,0.83636275
CACNG5,0.6292498888888889,0.6256452222222222,0.6234197777777778,0.6319758888888889,0.6260611111111111,0.6298885555555556,0.6253774444444444,0.6273228888888889,0.6323268888888889,0.6485515555555555,0.6330135555555556,0.6220274444444445,0.6321841111111112,0.6213483333333333,0.6500495555555555,0.6269775555555556,0.6323351111111112,0.6339805555555555,0.6321605555555556,0.6234608888888888,0.6344052222222223,0.6325411111111111,0.6214552222222223,0.6301297777777778,0.6174693333333333,0.6347485555555555,0.6333078888888889,0.6189466666666666,0.6363487777777778,0.6277522222222223,0.640705,0.6446833333333334,0.612224,0.625464,0.6356944444444443,0.6253321111111111,0.6500638888888889,0.6206023333333334,0.6326522222222223,0.6390588888888888,0.6192407777777778,0.623232888888889,0.626545,0.6293656666666667,0.6138754444444445,0.6193187777777778,0.6512293333333333,0.6301824444444445,0.6384662222222223,0.6317938888888889,0.6101793333333334,0.6127302222222223,0.6366366666666666,0.6202198888888889,0.6417285555555555,0.6210433333333333,0.64071,0.6388776666666667,0.635269,0.6367945555555555,0.6287736666666667,0.6302757777777779,0.6289301111111111,0.6271501111111112
CACNG6,0.5465205000000001,0.5630271666666666,0.5161858333333333,0.6008988333333334,0.603112,0.5415981666666666,0.5812526666666668,0.5815865,0.6022535,0.6066923333333333,0.5751808333333334,0.6059990000000001,0.5723873333333334,0.557864,0.588715,0.6213018333333333,0.5736633333333333,0.6139073333333332,0.6014855,0.5416863333333334,0.5933368333333333,0.5625006666666666,0.6414513333333334,0.5732348333333334,0.5102285000000001,0.5880431666666667,0.617196,0.6066886666666667,0.5962476666666666,0.580054,0.6344788333333334,0.6291883333333333,0.5506033333333333,0.6098560000000001,0.5908275,0.5927693333333334,0.6299343333333334,0.6222789999999999,0.6176256666666666,0.5977313333333333,0.5457808333333333,0.5210975,0.5921675,0.6461381666666667,0.5399666666666666,0.568706,0.6262183333333333,0.6150143333333333,0.594572,0.6192686666666667,0.5861515,0.5305076666666667,0.5855525,0.5419033333333333,0.5597818333333333,0.5957191666666667,0.5644768333333333,0.6004236666666667,0.5480408333333333,0.5440448333333333,0.6018118333333333,0.6146336666666666,0.5832071666666666,0.5455599999999999
CARD16,0.782858,0.665882,0.622195,0.611942,0.622194,0.577048,0.66653,0.640074,0.671245,0.5735,0.645399,0.640101,0.616627,0.654875,0.76244,0.64364,0.662759,0.702181,0.641118,0.671683,0.619764,0.609178,0.65081,0.582607,0.567606,0.657726,0.648421,0.628971,0.590485,0.68278,0.616199,0.608979,0.583687,0.675148,0.621053,0.685166,0.741758,0.628663,0.702177,0.667986,0.64063,0.625873,0.653861,0.70352,0.660631,0.636367,0.65497,0.713704,0.681704,0.630109,0.636388,0.650745,0.61915,0.603755,0.638701,0.675814,0.637312,0.646419,0.604876,0.650873,0.64815,0.628044,0.657755,0.649002
CARD17,0.860999,0.862013,0.863229,0.864731,0.872958,0.822446,0.864531,0.855197,0.864206,0.852847,0.858545,0.846585,0.864344,0.818328,0.868989,0.87777,0.918762,0.87902,0.882276,0.831901,0.877703,0.852211,0.859351,0.845013,0.84891,0.884235,0.85845,0.860994,0.87989,0.858208,0.863121,0.872621,0.837561,0.871667,0.856005,0.87294,0.895963,0.854958,0.857647,0.899446,0.860531,0.859519,0.917143,0.884074,0.845346,0.835813,0.868987,0.894974,0.886256,0.863991,0.863927,0.85371,0.893123,0.85266,0.884542,0.877157,0.879182,0.86672,0.845382,0.87148,0.841058,0.839057,0.857341,0.879242
CARD18,0.7961415000000001,0.835348,0.8346819999999999,0.8316975,0.8140475,0.8113969999999999,0.83504,0.851745,0.8271925,0.8418255,0.803013,0.8425940000000001,0.829846,0.776945,0.8570095,0.8559485,0.832489,0.8203914999999999,0.8228945000000001,0.81616,0.8360095000000001,0.8444175,0.8471955,0.8430545,0.8144215,0.8480175,0.8243735,0.7913574999999999,0.8058425,0.806659,0.850049,0.7881994999999999,0.789805,0.8203,0.8573649999999999,0.800923,0.87408,0.8321485,0.80175,0.8473645000000001,0.8416494999999999,0.8254345000000001,0.8453655,0.8267644999999999,0.824891,0.790591,0.8437144999999999,0.816049,0.8385525,0.8239265,0.8129865000000001,0.7984665,0.8380405,0.8426545000000001,0.8203155,0.834504,0.848212,0.8382765,0.8219885,0.8346345,0.7834975,0.856773,0.8059769999999999,0.834376
CASP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASP12,0.380805,0.453004,0.401801,0.432675,0.423662,0.428283,0.413386,0.39626,0.40875,0.438941,0.392158,0.431207,0.420568,0.385842,0.445679,0.440443,0.424615,0.387655,0.416227,0.412415,0.440887,0.386173,0.443286,0.402277,0.387748,0.406813,0.413326,0.405047,0.391811,0.421771,0.403541,0.396331,0.350353,0.411743,0.433576,0.368164,0.440866,0.353119,0.391584,0.41723,0.422157,0.42527,0.465559,0.441819,0.404283,0.367113,0.465121,0.432524,0.455395,0.409391,0.39487,0.378079,0.431121,0.412116,0.437854,0.456267,0.435252,0.436744,0.418078,0.389763,0.361878,0.403709,0.38534,0.453694
CBLB,0.0280377142857142,0.0273977142857142,0.013786,0.0198851428571428,0.0233305714285714,0.0252288571428571,0.0180961428571428,0.0138424285714285,0.0222845714285714,0.0213315714285714,0.0188578571428571,0.0226228571428571,0.0266854285714285,0.0279415714285714,0.0113858571428571,0.0120424285714285,0.0140649999999999,0.0118201428571428,0.0222378571428571,0.0266202857142857,0.0157947142857142,0.0276358571428571,0.0184135714285714,0.0229981428571428,0.0261841428571428,0.0207288571428571,0.0195548571428571,0.0150961428571428,0.0183077142857142,0.0234504285714285,0.0198899999999999,0.0215155714285714,0.0243879999999999,0.023864,0.0162982857142857,0.0146748571428571,0.0134242857142857,0.0162092857142857,0.0167171428571428,0.0158595714285714,0.022552,0.0163052857142857,0.0201055714285714,0.0146015714285714,0.0340285714285714,0.0244181428571428,0.0218842857142857,0.019021,0.0262717142857142,0.0285947142857142,0.0222134285714285,0.0186722857142857,0.0236851428571428,0.0207374285714285,0.0211825714285714,0.0135927142857142,0.0221491428571428,0.0257018571428571,0.0317547142857142,0.0200025714285714,0.0305487142857142,0.0175892857142857,0.0225622857142857,0.0283657142857142
CD72,0.351378,0.3849295714285715,0.3856568571428571,0.4108432857142857,0.3933154285714285,0.4002178571428571,0.3953485714285714,0.3938108571428571,0.3856457142857143,0.4081905714285714,0.3870275714285714,0.403952,0.3916595714285714,0.3821782857142857,0.3895525714285714,0.3976265714285714,0.4098591428571428,0.3802419999999999,0.3949729999999999,0.4025017142857142,0.4051995714285714,0.393982,0.4119952857142857,0.4124482857142857,0.3651091428571428,0.394123,0.377157,0.3680697142857143,0.3877244285714285,0.3963517142857142,0.4293677142857143,0.4052511428571428,0.3684791428571428,0.3922751428571428,0.4114335714285714,0.3807595714285714,0.4158188571428571,0.389052,0.4017217142857143,0.4051774285714286,0.3831831428571428,0.3873652857142857,0.3905547142857143,0.4150121428571429,0.4013451428571429,0.3594284285714285,0.4279734285714286,0.406872,0.3904788571428571,0.4196658571428571,0.3678807142857143,0.3651091428571428,0.4077365714285714,0.3712508571428571,0.3991989999999999,0.3902884285714286,0.4052527142857142,0.4016628571428571,0.4039655714285714,0.3980391428571428,0.3829862857142857,0.3948794285714286,0.3912015714285714,0.3954394285714285
CD8A,0.1325153529411764,0.155165294117647,0.118773294117647,0.1813302352941176,0.1503020588235294,0.1603131764705882,0.1621884705882353,0.1397396470588235,0.1427789411764706,0.1688138823529411,0.1686737647058823,0.1454762352941176,0.159007,0.1446401176470588,0.1295181764705882,0.1503634117647058,0.1589737647058823,0.1284584705882352,0.1561898235294117,0.1493594705882353,0.157964,0.1476532352941176,0.1682978235294117,0.1561636470588235,0.1388008823529411,0.1470925882352941,0.1424347058823529,0.1500785294117647,0.1425811764705882,0.1491878823529411,0.1527137647058823,0.1556659411764706,0.1462246470588235,0.1503936470588235,0.1506076470588235,0.1301436470588235,0.1641367647058823,0.1644497647058823,0.1435814705882352,0.1442508235294117,0.1408714117647058,0.1367728235294117,0.1479094705882352,0.1485483529411764,0.1529456470588235,0.1377336470588235,0.1574274117647058,0.1604916470588235,0.1525218235294117,0.1735819411764705,0.1294103529411764,0.1384169411764706,0.1564695294117647,0.1359091764705882,0.1668001764705882,0.142645,0.1630561176470588,0.1439132352941176,0.1718374117647058,0.1491212352941176,0.1495734705882353,0.1563158235294117,0.1501465294117647,0.1514618235294117
CD8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEK1,0.0709606666666666,0.0624613333333333,0.0632733333333333,0.0580806666666666,0.05617,0.0844736666666666,0.0643036666666666,0.060598,0.0369156666666666,0.0513826666666666,0.0527016666666666,0.0486593333333333,0.065117,0.06613,0.0567456666666666,0.0408633333333333,0.0486433333333333,0.0524699999999999,0.0464056666666666,0.0645453333333333,0.051906,0.0644193333333333,0.045236,0.0551956666666666,0.0537743333333333,0.049529,0.0639943333333333,0.0654533333333333,0.05525,0.0536756666666666,0.053378,0.0480673333333333,0.0522759999999999,0.0533763333333333,0.0524046666666666,0.043159,0.0547976666666666,0.0479956666666666,0.068913,0.0536366666666666,0.0632216666666666,0.0478496666666666,0.0455109999999999,0.0560886666666666,0.0649306666666666,0.0405736666666666,0.0533726666666666,0.053201,0.0441473333333333,0.0648433333333333,0.0557206666666666,0.0547633333333333,0.0544356666666666,0.0536216666666666,0.0716293333333333,0.0460616666666666,0.06578,0.0561589999999999,0.0632786666666666,0.051111,0.0538403333333333,0.0621473333333333,0.0702723333333333,0.0614393333333333
CHEK2,0.1124053333333333,0.1214923333333333,0.0071746666666666,0.0751743333333333,0.120112,0.1269803333333333,0.1194316666666666,0.1234036666666666,0.1039426666666666,0.065659,0.1243853333333333,0.066485,0.1281256666666666,0.0825663333333333,0.0482833333333333,0.0601203333333333,0.0325916666666666,0.05965,0.0782876666666666,0.130237,0.0557533333333333,0.1163453333333333,0.064993,0.070567,0.147865,0.091994,0.121819,0.0541563333333333,0.040839,0.0925173333333333,0.0582846666666666,0.110958,0.0776723333333333,0.098619,0.0876463333333333,0.0565783333333333,0.0852893333333333,0.117008,0.080252,0.0854146666666666,0.098092,0.085946,0.1149143333333333,0.0389573333333333,0.089924,0.118529,0.124813,0.084775,0.1120166666666666,0.0448266666666666,0.071108,0.0763083333333333,0.0484866666666666,0.1191086666666666,0.1102513333333333,0.0357506666666666,0.085511,0.0695546666666666,0.1072106666666666,0.0608713333333333,0.0609333333333333,0.1030086666666666,0.1415553333333333,0.0713453333333333
